Date_Collected,Date_Processed,Processor,Farm,Sample_Location,Replicate,Time,Sample_ID,Subsample_ID,Size_Class,Subsample,Nematode,Annelid,Clam,HSC_egg,Gastropod,Copepod,Ostracod,Foraminifera,Empty_oyster,Single_clam_valve,Empty_gastropod,Empty_ostracod,Exoskeleton,Isopod,Amphipod,Unknown Star Organism,Unknown,Notes_during_Collection,Notes_during_Processing
6/2/20,11/11/20,Elizabeth,B,Control,1,11:57,Farm B Control 1,B-Control1-2mm,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,1 full clam valve
6/2/20,11/11/20,Elizabeth,B,Control,1,11:57,Farm B Control 1,B-Control1-1mm,1,1,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,3 whole clam valves
6/2/20,11/11/20,Elizabeth,B,Control,1,11:57,Farm B Control 1,B-Control1-0.5mm,0.5,1,16,2,4,0,0,0,0,0,0,3,2,0,0,0,0,0,0,,"4*4 nematodes; 3 single clam valve; one of the clams is full but gaping and it contains tissues. I think both empty gastropod shells in 0.5mm are the same species. For first shell, see pictures: FarmB_Control1_0.5mm_gastropodshell, FarmB_Control1_0.5mm_gastropodshell1. Second picture taken with above light source. For second shell, see FarmB_Control1_0.5mm_gastropodshell2"
6/2/20,11/12/20,Elizabeth,B,Control,2,12:00,Farm B Control 2,B-Control2-2mm,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,"1 full clam valve; 1 bivalve that looks like a razor mussel and there is tissue inside. See images: FarmB_Control2_2mm_bivalveseam, FarmB_Control2_2mm_bivalvetissue"
6/2/20,11/12/20,Elizabeth,B,Control,2,12:00,Farm B Control 2,B-Control2-1mm,1,1,17,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,2 full clam valves
6/2/20,11/12/20,Elizabeth,B,Control,2,12:00,Farm B Control 2,B-Control2-0.5mm,0.5,1,48,4,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,,12*4 nematodes; 7 full single clam valves. Empty gastropod: FarmB_Control2_0.5mm_gastropodshell
6/2/20,11/12/20,Elizabeth,B,Control,3,12:00,Farm B Control 3,B-Control3-2mm,2,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,,Gastropods are eastern mud snail; 1 single clam shell
6/2/20,11/12/20,Elizabeth,B,Control,3,12:00,Farm B Control 3,B-Control3-1mm,1,1,20,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,,The empty gastropod shell is the same type as the one from FarmB_Alley2_1mm_gastropod; 2 single clam valves
6/2/20,11/12/20,Elizabeth,B,Control,3,12:00,Farm B Control 3,B-Control3-0.5mm,0.5,1,48,0,1,0,0,0,1,0,0,3,3,0,0,0,0,0,0,,12*4 nematodes; empty gastropod is an eastern mud snail; 3 single clam valves
6/2/20,11/9/20,Elizabeth,B,Alley,1,11:47,Farm B Alley 1,B-Alley1-2mm,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,
