Date_Collected,Date_Processed,Processor,Point_on_Sandbar,Inshore_or_Offshore,Time_Point,Time,Size_Class,Subsample,Sample_ID,Subsample_ID,Nematode,Annelid,Clam,HSC_egg,Gastropod,Copepod,Ostracod,Foraminifera,Empty_oyster,Single_clam_valve,Empty_gastropod,Empty_ostracod,Exoskeleton,Isopod,Amphipod,Unknown Star Organism,Unknown,Notes,Notes_during_Collection,Notes_during_Processing
6/2/20,8/17/20,Jen,B,Offshore,T1,10:10,2,1,B-Offshore-T1,B-Offshore-T1-2mm,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sample was wet. Birds were feeding at this site prior to sampling, not actively during sampling. ",
6/2/20,8/17/20,Jen,B,Offshore,T1,10:10,1,1,B-Offshore-T1,B-Offshore-T1-1mm,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,"Sample was wet. Birds were feeding at this site prior to sampling, not actively during sampling. ",
6/2/20,8/17/20,Jen,B,Offshore,T1,10:10,0.5,1,B-Offshore-T1,B-Offshore-T1-0.5mm,356,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,89*4 nematodes; unknown org was an empty gastropod shell,"Sample was wet. Birds were feeding at this site prior to sampling, not actively during sampling. ",The unknown empty shell in 0.5mm is some kind of bulloid gastropod shell. See image!
6/2/20,8/17/20,Jen,B,Offshore,T1,10:10,0.25,  1/16,B-Offshore-T1,B-Offshore-T1-0.25mm,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sample was wet. Birds were feeding at this site prior to sampling, not actively during sampling. ","Saw green algae in slight sphere, likely from HSC eggs -- saved pic as BO_TI_0.25mm_other. "
6/2/20,9/30/20,Elizabeth,B,Offshore,T2,10:25,2,1,B-Offshore-T2,B-Offshore-T2-2mm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tide line ~2m away; Active birds feeding (gulls); pore water,
6/2/20,9/30/20,Elizabeth,B,Offshore,T2,10:25,1,1,B-Offshore-T2,B-Offshore-T2-1mm,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tide line ~2m away; Active birds feeding (gulls); pore water,
6/2/20,9/30/20,Elizabeth,B,Offshore,T2,10:25,0.5,1,B-Offshore-T2,B-Offshore-T2-0.5mm,292,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73*4 nematodes,Tide line ~2m away; Active birds feeding (gulls); pore water,"Talk to Daphne/Dave about whether we should count empty snail shell found in 500 micrometer subsample (see images:  BO_T2_0.5mm_organism1, BO_TO_0.5mm_organism2)"
6/2/20,9/30/20,Elizabeth,B,Offshore,T2,10:25,0.25,  1/16,B-Offshore-T2,B-Offshore-T2-0.25mm,72,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,Tide line ~2m away; Active birds feeding (gulls); pore water,
6/2/20,10/19/20,Elizabeth,B,Offshore,T3,10:40,2,1,B-Offshore-T3,B-Offshore-T3-2mm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tide line ~4.5m away; Active bird previously,
6/2/20,10/19/20,Elizabeth,B,Offshore,T3,10:40,1,1,B-Offshore-T3,B-Offshore-T3-1mm,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tide line ~4.5m away; Active bird previously,"Greenish brown blob is a HSC egg. When I squeezed it with tweezers it felt soft and squishy, and then it popped and dark tissues oozed out (see images: BO_T3_1mm_mystery, BO_T3_1mm_mystery2)! Plant material: BO_T3_1mm_organism1, BO_T3_1mm_organism2)"
